timestamp,contatori_3_persone_media,contatori_2_persone_media,contatori_5_persone_media,contatori_4_persone_media
2002-03-21,77.3,51.77142857142857,135.34259259259258,104.48421052631579
2002-03-22,76.25,54.77142857142857,133.78703703703704,105.09473684210526
2002-03-23,87.94,61.65714285714286,155.17592592592592,128.73684210526315
2002-03-24,95.93,61.695238095238096,158.22222222222223,126.70526315789473
2002-03-25,83.05,50.93333333333333,142.1851851851852,105.54736842105264
2002-03-26,78.13,53.55238095238095,125.52777777777777,105.66315789473684
2002-03-27,81.06,55.59047619047619,122.14814814814815,108.2
2002-03-28,70.94,53.161904761904765,125.20370370370371,97.36842105263158
2002-03-29,81.51,47.076190476190476,127.51851851851852,109.74736842105263
2002-03-30,94.64,65.46666666666667,148.7037037037037,129.38947368421051
2002-03-31,98.76,62.21904761904762,158.12037037037038,125.3578947368421
2002-04-01,102.83,59.371428571428574,160.25925925925927,130.61052631578949
