Date,Yearly
1980-03-01,0.13668002
1980-04-01,0.16363251
1980-05-01,0.13894174
1980-06-01,0.09091224
1980-07-01,0.02885658
1980-08-01,-0.031619005
1980-09-01,-0.07327242
1980-10-01,-0.08090452
1980-11-01,-0.035263885
1980-12-01,0.03468885
1981-01-01,0.10046237
1981-02-01,0.15331589
1981-03-01,0.13977493
1981-04-01,0.073629916
1981-05-01,-0.04188028
1981-06-01,-0.15802506
1981-07-01,-0.24467058
1981-08-01,-0.28527084
1981-09-01,-0.24859113
1981-10-01,-0.148007
1981-11-01,0.01015249
1981-12-01,0.17883152
1982-01-01,0.30893022
1982-02-01,0.36866695
1982-03-01,0.3217425
1982-04-01,0.19262983
1982-05-01,0.00067417097
1982-06-01,-0.19180399
1982-07-01,-0.32978314
1982-08-01,-0.3921756
1982-09-01,-0.3597129
1982-10-01,-0.24084687
1982-11-01,-0.051340733
1982-12-01,0.15036246
1983-01-01,0.31170726
1983-02-01,0.4049128
1983-03-01,0.3911157
1983-04-01,0.28727347
1983-05-01,0.11355219
1983-06-01,-0.0658172
1983-07-01,-0.21427193
1983-08-01,-0.31292865
1983-09-01,-0.32125762
1983-10-01,-0.25949565
1983-11-01,-0.13822956
1983-12-01,0.009969426
1984-01-01,0.14617668
1984-02-01,0.24159451
1984-03-01,0.25657487
1984-04-01,0.20622592
1984-05-01,0.09289406
1984-06-01,-0.03474487
1984-07-01,-0.14425921
1984-08-01,-0.21541668
1984-09-01,-0.23323247
1984-10-01,-0.19494474
1984-11-01,-0.09882728
1984-12-01,0.026301192
1985-01-01,0.1452592
1985-02-01,0.23737507
1985-03-01,0.25819173
1985-04-01,0.21646683
1985-05-01,0.11849281
1985-06-01,-0.0076473947
1985-07-01,-0.12137617
1985-08-01,-0.21012287
1985-09-01,-0.2503779
1985-10-01,-0.2259551
1985-11-01,-0.13990805
1985-12-01,-0.02181192
1986-01-01,0.09701343
1986-02-01,0.19377051
1986-03-01,0.2328655
1986-04-01,0.20638476
1986-05-01,0.11533103
1986-06-01,0.002669689
1986-07-01,-0.102995574
1986-08-01,-0.18000123
1986-09-01,-0.20615496
1986-10-01,-0.17257449
1986-11-01,-0.08983077
1986-12-01,0.022922365
1987-01-01,0.1262937
1987-02-01,0.20363042
1987-03-01,0.21414393
1987-04-01,0.16826487
1987-05-01,0.065224186
1987-06-01,-0.045347627
1987-07-01,-0.13865252
1987-08-01,-0.19622196
1987-09-01,-0.2037771
1987-10-01,-0.15926746
1987-11-01,-0.07042743
1987-12-01,0.03331463
1988-01-01,0.12497317
1988-02-01,0.18883546
1988-03-01,0.18864113
1988-04-01,0.14166571
1988-05-01,0.049290285
1988-06-01,-0.03937504
1988-07-01,-0.11192094
1988-08-01,-0.15321659
1988-09-01,-0.14922906
1988-10-01,-0.110826746
1988-11-01,-0.035480905
1988-12-01,0.051803928
1989-01-01,0.11737835
1989-02-01,0.15749547
1989-03-01,0.13548389
1989-04-01,0.07593102
1989-05-01,-0.012230076
1989-06-01,-0.09777083
1989-07-01,-0.15202528
1989-08-01,-0.17412248
1989-09-01,-0.14271556
1989-10-01,-0.06799366
1989-11-01,0.037501518
1989-12-01,0.14588563
1990-01-01,0.2204656
1990-02-01,0.2545442
1990-03-01,0.20831369
1990-04-01,0.104607746
1990-05-01,-0.041628443
