Date,Close
14/09/2018,2.344
17/09/2018,2.3985
18/09/2018,2.3955
19/09/2018,2.4275
20/09/2018,2.4155
21/09/2018,2.4485
24/09/2018,2.397
25/09/2018,2.47
26/09/2018,2.4325
27/09/2018,2.404
28/09/2018,2.201
01/10/2018,2.115
02/10/2018,2.108
03/10/2018,2.1195
04/10/2018,2.165
05/10/2018,2.0985
08/10/2018,2.03
09/10/2018,2.0745
10/10/2018,2.0855
11/10/2018,2.034
12/10/2018,2.026
15/10/2018,2.0415
16/10/2018,2.07
17/10/2018,2.0465
18/10/2018,1.979
19/10/2018,1.9842
22/10/2018,1.9676
23/10/2018,1.9682
24/10/2018,1.9006
25/10/2018,1.9532
26/10/2018,1.9378
29/10/2018,1.9966
30/10/2018,1.992
31/10/2018,1.953
01/11/2018,1.9858
02/11/2018,2.0065
05/11/2018,1.9762
06/11/2018,2.0015
07/11/2018,2.055
08/11/2018,2.029
09/11/2018,2.0055
12/11/2018,1.9602
13/11/2018,2.0025
14/11/2018,1.9788
15/11/2018,1.9538
16/11/2018,1.9194
19/11/2018,1.9262
20/11/2018,1.8788
21/11/2018,1.932
22/11/2018,1.9318
23/11/2018,1.9522
26/11/2018,2.0405
27/11/2018,2.0395
28/11/2018,2.054
29/11/2018,2.0325
30/11/2018,2.048
03/12/2018,2.1125
04/12/2018,2.064
05/12/2018,2.0805
06/12/2018,1.9734
07/12/2018,1.982
10/12/2018,1.9396
11/12/2018,1.934
12/12/2018,2.013
13/12/2018,2.032
14/12/2018,2.014
17/12/2018,1.973
18/12/2018,1.985
19/12/2018,2.019
20/12/2018,1.945
21/12/2018,1.9122
27/12/2018,1.909
28/12/2018,1.9398
02/01/2019,1.9064
03/01/2019,1.9014
04/01/2019,1.9992
07/01/2019,2.033
08/01/2019,2.0095
09/01/2019,2.0065
10/01/2019,2.021
11/01/2019,2.011
14/01/2019,1.9818
15/01/2019,1.957
16/01/2019,2.03
17/01/2019,2.0135
18/01/2019,2.0385
21/01/2019,2.039
22/01/2019,2.0265
23/01/2019,2.039
24/01/2019,2.028
25/01/2019,2.0645
28/01/2019,2.0455
29/01/2019,2.0485
30/01/2019,2.061
31/01/2019,1.9948
01/02/2019,1.9626
04/02/2019,1.9616
05/02/2019,1.9928
06/02/2019,2.0405
07/02/2019,1.9844
08/02/2019,1.9754
11/02/2019,1.9996
12/02/2019,2.006
13/02/2019,2.013
14/02/2019,1.984
15/02/2019,2.047
18/02/2019,2.065
19/02/2019,2.0555
20/02/2019,2.0565
21/02/2019,2.04
22/02/2019,2.042
25/02/2019,2.0845
26/02/2019,2.0765
27/02/2019,2.1315
28/02/2019,2.169
01/03/2019,2.158
04/03/2019,2.1655
05/03/2019,2.1615
06/03/2019,2.182
07/03/2019,2.1335
08/03/2019,2.119
11/03/2019,2.1375
12/03/2019,2.136
13/03/2019,2.1545
14/03/2019,2.17
15/03/2019,2.199
18/03/2019,2.233
19/03/2019,2.236
20/03/2019,2.23
21/03/2019,2.215
22/03/2019,2.1565
25/03/2019,2.149
26/03/2019,2.1435
27/03/2019,2.16
28/03/2019,2.164
29/03/2019,2.171
01/04/2019,2.2055
02/04/2019,2.198
03/04/2019,2.2175
04/04/2019,2.234
05/04/2019,2.234
08/04/2019,2.233
09/04/2019,2.2365
10/04/2019,2.2215
11/04/2019,2.2345
12/04/2019,2.2835
15/04/2019,2.301
16/04/2019,2.3225
17/04/2019,2.342
18/04/2019,2.3325
23/04/2019,2.321
24/04/2019,2.275
25/04/2019,2.277
26/04/2019,2.285
29/04/2019,2.332
30/04/2019,2.337
02/05/2019,2.327
03/05/2019,2.322
06/05/2019,2.2895
07/05/2019,2.242
08/05/2019,2.216
09/05/2019,2.1645
10/05/2019,2.1595
13/05/2019,2.118
14/05/2019,2.15
15/05/2019,2.1315
16/05/2019,2.1835
17/05/2019,2.1705
20/05/2019,1.978
21/05/2019,1.977
22/05/2019,1.9416
23/05/2019,1.903
24/05/2019,1.9188
27/05/2019,1.9082
28/05/2019,1.887
29/05/2019,1.8658
30/05/2019,1.8652
31/05/2019,1.8338
03/06/2019,1.826
04/06/2019,1.8662
05/06/2019,1.85
06/06/2019,1.8264
07/06/2019,1.8328
10/06/2019,1.8458
11/06/2019,1.8472
